Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.26      1.74     1.74       40     0.04     0.18  classify_clusters(std::vector<long, std::allocator<long> >&)
 12.54      2.94     1.20 1419361570     0.00     0.00  std::vector<long, std::allocator<long> >::operator[](unsigned long)
 11.33      4.02     1.08 586776503     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>::operator()<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >)
  9.87      4.96     0.94                             _init
  9.55      5.87     0.91 586730694     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++()
  8.19      6.65     0.78    62058     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>, std::random_access_iterator_tag)
  6.56      7.27     0.63 586776503     0.00     0.00  classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}::operator()(int) const
  5.82      7.83     0.56       81     0.01     0.01  std::vector<double, std::allocator<double> >::~vector()
  4.83      8.29     0.46 586776503     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const
  2.94      8.57     0.28 132949955     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::operator++()
  2.20      8.78     0.21 132966204     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>::operator()<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >)
  1.78      8.95     0.17    16289     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>, std::random_access_iterator_tag)
  1.36      9.08     0.13    78307     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::difference_type __gnu_cxx::operator-<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  1.15      9.19     0.11 132966204     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::operator*() const
  1.15      9.30     0.11 132966204     0.00     0.00  number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}::operator()(int) const
  0.94      9.39     0.09    16289     0.00     0.00  find_nonclassified_cluster(std::vector<long, std::allocator<long> >&)
  0.26      9.41     0.03                             cluster_size(std::vector<long, std::allocator<long> > const&, long)
  0.21      9.43     0.02   655360     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.21      9.45     0.02                             bool __gnu_cxx::operator!=<long const*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&)
  0.10      9.46     0.01  3932170     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.10      9.47     0.01  1966081     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.10      9.48     0.01  1589224     0.00     0.00  attach_neighbours(std::vector<long, std::allocator<long> >&, long)::{lambda(long&)#1}::operator()(long&) const
  0.10      9.49     0.01  1310721     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.10      9.50     0.01  1310720     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.10      9.51     0.01   400464     0.00     0.00  attach_neighbours(std::vector<long, std::allocator<long> >&, long)
  0.10      9.52     0.01    16289     0.00     0.00  bool __gnu_cxx::operator==<long const*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&)
  0.05      9.53     0.01       40     0.00     0.02  number_of_last_cluster(std::vector<long, std::allocator<long> > const&)
  0.05      9.53     0.01                             largest_percolating_cluster_size(std::vector<long, std::allocator<long> > const&)
  0.00      9.53     0.00  3276802     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      9.53     0.00  1966080     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      9.53     0.00  1310760     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      9.53     0.00  1310724     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      9.53     0.00  1310720     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::operator+=(long)
  0.00      9.53     0.00  1310720     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const&) const
  0.00      9.53     0.00  1310720     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
